riverflow,CSOspills,cso15,cso18
11.551,878.72475,561.08115,317.6436
10.3045,384.0657,222.63345,161.43225
10.10575,64.10715,17.1966,46.91055
9.84075,106.50615,30.75225,75.7539
9.317,940.52505,584.75445,355.7706
8.72725,443.3142,267.86715,175.44705
8.4565,536.28915,364.52085,171.7683
8.07675,4.7079,0,4.7079
0.532,0.3,0,0.3
0.55225,0.6924,0,0.6924
0.759,149.9244,79.63095,70.29345
0.759,324.105,250.19775,73.90725
2.86225,132.87645,59.1594,73.71705
7.26975,787.4289,464.463,322.9659
12.5255,702.23175,462.4737,239.75805
15.253,141.1128,64.8207,76.2921
2.8985,30.75135,13.09245,17.6589
3.11275,281.96055,195.91815,86.0424
2.589,0.7002,0,0.7002
0.6545,96.8343,76.3191,20.5152
0.86175,20.4585,10.29705,10.16145
0.837,57.1038,48.93345,8.17035
0.7675,20.1636,10.1454,10.0182
1.0185,17.1156,10.8573,6.2583
1.64675,1.02705,0,1.02705
1.711,33.92865,25.3122,8.61645
1.92175,36.1161,23.304,12.8121
1.3315,1.18365,0,1.18365
1.30625,12.81345,8.4711,4.34235
2.5025,47.1534,37.5723,9.5811
1.81275,20.9655,12.8943,8.0712
2.7505,4.0662,0,4.0662
0.929,828.4629,483.6636,344.7993
0.9575,128.8263,101.0262,27.8001
0.967,60.68835,44.8905,15.79785
2.04725,258.19245,173.05395,85.1385
2.07775,54.79935,45.64245,9.1569
2.7555,56.1573,35.1969,20.9604
2.6245,105.9387,83.2584,22.6803
0.948,14.1993,10.4424,3.7569
0.9575,1.4409,0,1.4409
1.04725,0.3,0,0.3
2.13625,1.0914,0,1.0914
2.31725,2.97285,0,2.97285
2.8245,40.11495,31.7034,8.41155
0.75575,124.27695,69.4266,54.85035
0.9415,137.79975,94.3755,43.42425
1.01375,0.170625,0,0.170625
1.04725,0.88665,0,0.88665
0.79325,0.4392,0,0.4392
0.96725,0.435,0,0.435
1.037,2.2749,0,2.2749
1.162,0.15,0,0.15
1.18675,142.0542,75.1935,66.8607
1.27375,22.9257,14.4711,8.4546
1.38725,1.4637,0,1.4637
2.1795,0.15,0,0.15
2.19125,0.15,0,0.15
2.25175,1.27755,0,1.27755
2.64225,9.18735,0,9.18735
2.84275,2.5308,0,2.5308
3.083,40.8135,25.6749,15.1386
1.99075,49.2843,34.3578,14.9265
2.04725,0.33735,0,0.33735
2.07775,2.17965,0.5136,1.66605
2.156,42.5436,23.1363,19.4073
0.404,0.3414,0,0.3414
0.413,1.7133,0,1.7133
0.37875,0.3,0,0.3
0.3625,5.6187,0,5.6187
0.59525,3.82065,0,3.82065
0.67025,1.44615,0,1.44615
